ID,Text,Sentiment,Summary,Keywords,Confidence (%),Analysis Time (s)
1,The defendant was sentenced to ten years in prison.,Negative,The defendant was found guilty of DUI.,defendant,94.73,1.61
2,The court found the company guilty of fraud.,Negative,The court found the company guilty of fraud.,None,92.5,1.4
3,The judge praised the cooperation between the disputing companies.,Positive,The judge praised the cooperation between the disputing companies.,None,96.82,2.41
4,The judge dismissed the defendant's appeal.,Positive,The judge dismissed the defendant's appeal.,defendant,94.33,1.46
5,The court acknowledged the presence of all involved parties.,Positive,The court acknowledged the presence of all involved parties.,None,88.56,1.41
6,The defendant was acquitted of all charges.,Neutral,The defendant was acquitted of all charges.,defendant,89.37,1.55
7,The defendant was sentenced to ten years in prison.,Negative,The defendant was sentenced to ten years in prison.,defendant,93.06,1.46
8,The defendant was sentenced to ten years in prison.,Neutral,The defendant pleaded guilty to the charges.,defendant,87.44,1.39
9,The lawsuit alleged serious contractual breaches.,Negative,The lawsuit alleged serious contractual breaches.,None,88.25,2.27
10,The defendant was sentenced to ten years in prison.,Neutral,The defendant was sentenced to ten years in prison.,defendant,86.28,1.42
11,The defendant was sentenced to ten years in prison.,Negative,The defendant was sentenced to ten years in prison.,defendant,84.89,1.46
12,A contract was signed for mutual legal cooperation.,Positive,The plaintiff was a lawyer.,contract,92.2,1.29
13,The defendant was sentenced to ten years in prison.,Neutral,The defendant was sentenced to ten years in prison.,defendant,84.77,1.38
14,A heavy fine was imposed on the violating party.,Neutral,The court ruled that the police were not acting properly when they searched the car.,None,86.3,1.48
15,A heavy fine was imposed on the violating party.,Positive,The court found the plaintiffs in violation of the anti-discrimination law.,None,95.55,1.53
16,The court ruled in favor of the defendant with compensation granted.,Positive,The court ruled in favor of the defendant with compensation granted.,defendant,95.53,2.37
17,A heavy fine was imposed on the violating party.,Positive,A heavy fine was imposed on the violating party.,None,91.31,1.41
18,A heavy fine was imposed on the violating party.,Neutral,A heavy fine was imposed on the violating party.,None,87.9,1.41
19,The lawsuit alleged serious contractual breaches.,Negative,The lawsuit alleged serious contractual breaches.,None,97.53,1.44
20,A heavy fine was imposed on the violating party.,Positive,The court found that the defendant had not complied with the terms of the contract.,None,91.77,1.53
21,Both parties submitted their affidavits as required.,Positive,The judge ordered the parties to submit affidavits.,None,89.62,1.43
22,Both parties submitted their affidavits as required.,Neutral,A judge ordered the parties to submit their affidavits.,None,97.54,1.5
23,A heavy fine was imposed on the violating party.,Positive,A heavy fine was imposed on the violating party.,None,84.4,1.35
24,The court found the company guilty of fraud.,Negative,The court found the company guilty of fraud.,None,92.39,1.33
25,The lawsuit alleged serious contractual breaches.,Neutral,The lawsuit alleged serious contractual breaches.,None,86.94,1.34
26,The judge dismissed the defendant's appeal.,Negative,The defendant was convicted.,defendant,95.45,1.28
27,A heavy fine was imposed on the violating party.,Positive,The court ruled that the defendant had no right to the copyrighted material.,None,95.45,1.51
28,The defendant was sentenced to ten years in prison.,Neutral,The defendant was sentenced to ten years in prison.,defendant,94.84,1.42
29,The defendant was acquitted of all charges.,Neutral,The defendant was acquitted of all charges.,defendant,86.1,1.4
30,The court ruled in favor of the defendant with compensation granted.,Positive,The court ruled in favor of the defendant with compensation granted.,defendant,90.99,2.36
31,A contract was signed for mutual legal cooperation.,Positive,The court found that the contract was valid.,contract,88.65,1.4
32,A successful settlement was reached between both parties.,Positive,The plaintiff was a student in the school district.,settlement,94.37,1.38
33,The defendant was sentenced to ten years in prison.,Negative,The defendant was sentenced to ten years in prison.,defendant,90.23,2.27
34,A successful settlement was reached between both parties.,Neutral,A successful settlement was reached between both parties.,settlement,87.33,1.38
35,The judge dismissed the defendant's appeal.,Negative,The defendant was convicted of a crime.,defendant,91.05,1.49
36,The defendant was sentenced to ten years in prison.,Negative,The defendant was sentenced to ten years in prison.,defendant,85.53,1.36
37,The court ruled in favor of the defendant with compensation granted.,Positive,A man sued his wife for negligence.,defendant,96.5,1.31
38,The case was resolved amicably with no charges pressed.,Positive,A New York jury found an American man guilty of raping a woman while she was in a coma.,None,88.12,1.65
39,The judge praised the cooperation between the disputing companies.,Positive,A judge praised the cooperation between the disputing companies.,None,87.19,1.32
40,The court found the company guilty of fraud.,Negative,The court found the company guilty of fraud.,None,89.04,1.41
41,The defendant was sentenced to ten years in prison.,Neutral,The defendant was sentenced to ten years in prison.,defendant,95.26,1.47
42,The court found the company guilty of fraud.,Negative,The court found the company guilty of fraud.,None,87.2,1.34
43,The judge reviewed the evidence submitted.,Neutral,The judge found the defendant guilty.,evidence,84.91,2.22
44,The judge dismissed the defendant's appeal.,Negative,The judge dismissed the defendant's appeal.,defendant,85.33,1.56
45,The court found the company guilty of fraud.,Negative,A court ruled that a company was guilty of a fraud.,None,89.18,1.42
46,The judge dismissed the defendant's appeal.,Neutral,The defendant was convicted.,defendant,86.46,2.36
47,The defendant was sentenced to ten years in prison.,Negative,The defendant was sentenced to ten years in prison.,defendant,84.97,2.35
48,A heavy fine was imposed on the violating party.,Positive,The court found the defendant liable because of the breach of the contract.,None,86.47,2.42
49,The defendant was sentenced to ten years in prison.,Negative,The defendant was charged with possession of a controlled substance.,defendant,97.0,2.34
50,The lawsuit alleged serious contractual breaches.,Neutral,The lawsuit alleged serious contractual breaches.,None,93.59,1.31
51,The lawsuit alleged serious contractual breaches.,Neutral,An alleged breach of contract lawsuit against a New York television station is finally settled.,None,91.44,1.56
52,The lawsuit alleged serious contractual breaches.,Positive,The lawsuit alleged serious contractual breaches.,None,97.4,1.26
53,The hearing was postponed to a later date.,Neutral,The hearing was postponed to a later date.,None,90.83,1.43
54,The judge reviewed the evidence submitted.,Neutral,The judge ruled the case was not admissible.,evidence,94.46,1.46
55,The lawsuit alleged serious contractual breaches.,Neutral,The lawsuit alleged serious contractual breaches.,None,94.69,2.37
56,A successful settlement was reached between both parties.,Positive,The plaintiff had alleged that the defendants had breached the contract.,settlement,95.92,1.47
57,Both parties submitted their affidavits as required.,Neutral,Text: Both parties submitted their affidavits as required.,None,89.18,2.46
58,The hearing was postponed to a later date.,Neutral,The legal case was postponed to a later date.,None,92.6,1.46
59,The lawsuit alleged serious contractual breaches.,Negative,The lawsuit alleged serious contractual breaches.,None,91.92,1.48
60,The court acknowledged the presence of all involved parties.,Neutral,The court acknowledged the presence of all involved parties.,None,95.04,1.47
61,The defendant was acquitted of all charges.,Neutral,The defendant was acquitted of all charges.,defendant,93.25,2.34
62,The court ruled in favor of the defendant with compensation granted.,Neutral,The defendant was sued for a particular injury.,defendant,91.8,1.47
63,The judge reviewed the evidence submitted.,Neutral,The judge ruled on the case.,evidence,87.63,1.31
64,A contract was signed for mutual legal cooperation.,Positive,A legal case was filed.,contract,90.66,1.32
65,The case was resolved amicably with no charges pressed.,Positive,The legal case was resolved amicably with no charges pressed.,None,87.06,1.47
66,The judge dismissed the defendant's appeal.,Negative,The defendant was convicted of murder.,defendant,91.28,1.39
67,A contract was signed for mutual legal cooperation.,Positive,A contract was signed for mutual legal cooperation.,contract,90.57,1.37
68,A successful settlement was reached between both parties.,Positive,A successful settlement was reached between both parties.,settlement,92.22,1.36
