id,text
1,The defendant was sentenced to ten years in prison.
2,The court found the company guilty of fraud.
3,The judge praised the cooperation between the disputing companies.
4,The judge dismissed the defendant's appeal.
5,The court acknowledged the presence of all involved parties.
6,The defendant was acquitted of all charges.
7,The defendant was sentenced to ten years in prison.
8,The defendant was sentenced to ten years in prison.
9,The lawsuit alleged serious contractual breaches.
10,The defendant was sentenced to ten years in prison.
11,The defendant was sentenced to ten years in prison.
12,A contract was signed for mutual legal cooperation.
13,The defendant was sentenced to ten years in prison.
14,A heavy fine was imposed on the violating party.
15,A heavy fine was imposed on the violating party.
16,The court ruled in favor of the defendant with compensation granted.
17,A heavy fine was imposed on the violating party.
18,A heavy fine was imposed on the violating party.
19,The lawsuit alleged serious contractual breaches.
20,A heavy fine was imposed on the violating party.
21,Both parties submitted their affidavits as required.
22,Both parties submitted their affidavits as required.
23,A heavy fine was imposed on the violating party.
24,The court found the company guilty of fraud.
25,The lawsuit alleged serious contractual breaches.
26,The judge dismissed the defendant's appeal.
27,A heavy fine was imposed on the violating party.
28,The defendant was sentenced to ten years in prison.
29,The defendant was acquitted of all charges.
30,The court ruled in favor of the defendant with compensation granted.
31,A contract was signed for mutual legal cooperation.
32,A successful settlement was reached between both parties.
33,The defendant was sentenced to ten years in prison.
34,A successful settlement was reached between both parties.
35,The judge dismissed the defendant's appeal.
36,The defendant was sentenced to ten years in prison.
37,The court ruled in favor of the defendant with compensation granted.
38,The case was resolved amicably with no charges pressed.
39,The judge praised the cooperation between the disputing companies.
40,The court found the company guilty of fraud.
41,The defendant was sentenced to ten years in prison.
42,The court found the company guilty of fraud.
43,The judge reviewed the evidence submitted.
44,The judge dismissed the defendant's appeal.
45,The court found the company guilty of fraud.
46,The judge dismissed the defendant's appeal.
47,The defendant was sentenced to ten years in prison.
48,A heavy fine was imposed on the violating party.
49,The defendant was sentenced to ten years in prison.
50,The lawsuit alleged serious contractual breaches.
51,The lawsuit alleged serious contractual breaches.
52,The lawsuit alleged serious contractual breaches.
53,The hearing was postponed to a later date.
54,The judge reviewed the evidence submitted.
55,The lawsuit alleged serious contractual breaches.
56,A successful settlement was reached between both parties.
57,Both parties submitted their affidavits as required.
58,The hearing was postponed to a later date.
59,The lawsuit alleged serious contractual breaches.
60,The court acknowledged the presence of all involved parties.
61,The defendant was acquitted of all charges.
62,The court ruled in favor of the defendant with compensation granted.
